algorithm, size, time
quickSelect, 574, 0.000535
quickSelect, 574, 0.000552
quickSelect, 574, 0.000557
quickSelect, 574, 0.000567
quickSelect, 574, 0.000548
quickSelect, 574, 0.000540
quickSelect, 574, 0.000537
quickSelect, 574, 0.000540
quickSelect, 574, 0.000534
quickSelect, 574, 0.000536
quickSelect, 574, 0.000536
quickSelect, 641, 0.000665
quickSelect, 641, 0.000664
quickSelect, 641, 0.000664
quickSelect, 641, 0.000686
quickSelect, 641, 0.000694
quickSelect, 641, 0.000705
quickSelect, 641, 0.000699
quickSelect, 641, 0.000673
quickSelect, 641, 0.000673
quickSelect, 641, 0.000664
quickSelect, 641, 0.000663
quickSelect, 641, 0.000672
quickSelect, 641, 0.000672
quickSelect, 641, 0.000670
quickSelect, 641, 0.000665
quickSelect, 641, 0.000674
quickSelect, 641, 0.000687
quickSelect, 641, 0.000709
quickSelect, 641, 0.000682
quickSelect, 641, 0.000664
quickSelect, 715, 0.000835
quickSelect, 715, 0.000843
quickSelect, 715, 0.000831
quickSelect, 715, 0.000835
quickSelect, 715, 0.000830
quickSelect, 715, 0.000829
quickSelect, 715, 0.000839
quickSelect, 715, 0.000856
quickSelect, 715, 0.000861
quickSelect, 715, 0.000832
quickSelect, 715, 0.000827
quickSelect, 715, 0.000829
quickSelect, 715, 0.000831
quickSelect, 715, 0.000850
quickSelect, 715, 0.000829
quickSelect, 715, 0.000825
quickSelect, 715, 0.000836
quickSelect, 715, 0.000864
quickSelect, 715, 0.000856
quickSelect, 715, 0.000830
quickSelect, 797, 0.001034
quickSelect, 797, 0.001064
quickSelect, 797, 0.001047
quickSelect, 797, 0.001027
quickSelect, 797, 0.001029
quickSelect, 797, 0.001040
quickSelect, 797, 0.001026
quickSelect, 797, 0.001027
quickSelect, 797, 0.001032
quickSelect, 797, 0.001032
quickSelect, 797, 0.001064
quickSelect, 797, 0.001068
quickSelect, 797, 0.001116
quickSelect, 797, 0.001090
quickSelect, 797, 0.001025
quickSelect, 797, 0.001030
quickSelect, 797, 0.001065
quickSelect, 797, 0.001036
quickSelect, 797, 0.001024
quickSelect, 797, 0.001030
quickSelect, 889, 0.001278
quickSelect, 889, 0.001283
quickSelect, 889, 0.001272
quickSelect, 889, 0.001270
quickSelect, 889, 0.001275
quickSelect, 889, 0.001294
quickSelect, 889, 0.001318
quickSelect, 889, 0.001387
quickSelect, 889, 0.001317
quickSelect, 889, 0.001288
quickSelect, 889, 0.001277
quickSelect, 889, 0.001274
quickSelect, 889, 0.001268
quickSelect, 889, 0.001275
quickSelect, 889, 0.001282
quickSelect, 889, 0.001282
quickSelect, 889, 0.001278
quickSelect, 889, 0.001291
quickSelect, 889, 0.001320
quickSelect, 889, 0.001336
quickSelect, 992, 0.001635
quickSelect, 992, 0.001595
quickSelect, 992, 0.001626
quickSelect, 992, 0.001585
quickSelect, 992, 0.001589
quickSelect, 992, 0.001593
quickSelect, 992, 0.001591
quickSelect, 992, 0.001583
quickSelect, 992, 0.001586
quickSelect, 992, 0.001628
quickSelect, 992, 0.001697
quickSelect, 992, 0.001620
quickSelect, 992, 0.001601
quickSelect, 992, 0.001596
quickSelect, 992, 0.001591
quickSelect, 992, 0.001592
