size,quickselect,heapselect,medianmediansselect
298, 0.000012, 0.000005, 0.000024
298, 0.000004, 0.000004, 0.000020
298, 0.000002, 0.000005, 0.000027
298, 0.000002, 0.000010, 0.000022
298, 0.000001, 0.000009, 0.000068
298, 0.000027, 0.000005, 0.000034
298, 0.000005, 0.000007, 0.000032
298, 0.000006, 0.000007, 0.000023
298, 0.000002, 0.000006, 0.000033
298, 0.000010, 0.000004, 0.000020
298, 0.000003, 0.000009, 0.000029
298, 0.000004, 0.000004, 0.000035
298, 0.000007, 0.000005, 0.000025
298, 0.000008, 0.000006, 0.000021
298, 0.000005, 0.000010, 0.000029
298, 0.000004, 0.000005, 0.000035
298, 0.000010, 0.000007, 0.000034
298, 0.000003, 0.000008, 0.000026
298, 0.000007, 0.000004, 0.001205
298, 0.000006, 0.000006, 0.000029
298, 0.000003, 0.000006, 0.000032
298, 0.000003, 0.000013, 0.000026
298, 0.000003, 0.000005, 0.000026
298, 0.000006, 0.000005, 0.000030
298, 0.000004, 0.000005, 0.000022
298, 0.000002, 0.000007, 0.000033
298, 0.000002, 0.000008, 0.000046
298, 0.000002, 0.000005, 0.000036
298, 0.000006, 0.000005, 0.000033
298, 0.000005, 0.000004, 0.000023
298, 0.000004, 0.000014, 0.000025
298, 0.000011, 0.000004, 0.000028
298, 0.000002, 0.000006, 0.000036
298, 0.000005, 0.000006, 0.000039
298, 0.000009, 0.000006, 0.000029
298, 0.000011, 0.000006, 0.000038
298, 0.000008, 0.000006, 0.000031
298, 0.000013, 0.000004, 0.000043
298, 0.000012, 0.000005, 0.000022
298, 0.000005, 0.000006, 0.000029
298, 0.000011, 0.000021, 0.000059
298, 0.000015, 0.000010, 0.000036
298, 0.000008, 0.000005, 0.000026
298, 0.000002, 0.000006, 0.000023
332, 0.000004, 0.000006, 0.000033
332, 0.000005, 0.000008, 0.000048
332, 0.000007, 0.000005, 0.000038
332, 0.000002, 0.000010, 0.000038
332, 0.000016, 0.000007, 0.000025
332, 0.000002, 0.000008, 0.000039
332, 0.000002, 0.000146, 0.000035
332, 0.000008, 0.000006, 0.000041
332, 0.000005, 0.000005, 0.000039
332, 0.000012, 0.000005, 0.000020
332, 0.000003, 0.000005, 0.000031
332, 0.000013, 0.000007, 0.000027
332, 0.000008, 0.000006, 0.000024
332, 0.000001, 0.000009, 0.000029
332, 0.000004, 0.000005, 0.000025
332, 0.000002, 0.000006, 0.000025
332, 0.000004, 0.000007, 0.000061
332, 0.000002, 0.000007, 0.000029
332, 0.000004, 0.000006, 0.000028
332, 0.000004, 0.000004, 0.000020
332, 0.000002, 0.000006, 0.000032
332, 0.000002, 0.000015, 0.000036
332, 0.000003, 0.000006, 0.000026
332, 0.000004, 0.000006, 0.000033
332, 0.000010, 0.000006, 0.000027
332, 0.000001, 0.000007, 0.000024
332, 0.000001, 0.000009, 0.000045
332, 0.000004, 0.000005, 0.000031
332, 0.000002, 0.000025, 0.000049
332, 0.000020, 0.000144, 0.000025
332, 0.000004, 0.000006, 0.000027
332, 0.000003, 0.000005, 0.000026
332, 0.000004, 0.000008, 0.000052
332, 0.000007, 0.000006, 0.000040
332, 0.000002, 0.000007, 0.000040
332, 0.000004, 0.000006, 0.000022
332, 0.000007, 0.000005, 0.000019
332, 0.000002, 0.000005, 0.000026
332, 0.000007, 0.000004, 0.000023
332, 0.000005, 0.000006, 0.000024
332, 0.000003, 0.000006, 0.000030
332, 0.000008, 0.000007, 0.000026
332, 0.000006, 0.000004, 0.000025
332, 0.000004, 0.000004, 0.000023
332, 0.000008, 0.000005, 0.000033
332, 0.000001, 0.000008, 0.000044
332, 0.000002, 0.000007, 0.000040
332, 0.000006, 0.000005, 0.000027
332, 0.000006, 0.000011, 0.000033
332, 0.000005, 0.000007, 0.000037
371, 0.000003, 0.000006, 0.000035
371, 0.000009, 0.000005, 0.000033
371, 0.000009, 0.000005, 0.000034
371, 0.000003, 0.000006, 0.000024
371, 0.000003, 0.000006, 0.000029
371, 0.000009, 0.000005, 0.000028
371, 0.000004, 0.000009, 0.000031
371, 0.000005, 0.000017, 0.000040
371, 0.000007, 0.000005, 0.000032
371, 0.000006, 0.000006, 0.000028
371, 0.000003, 0.000007, 0.000061
371, 0.000013, 0.000011, 0.000028
371, 0.000012, 0.000008, 0.000041
371, 0.000009, 0.000005, 0.000040
371, 0.000017, 0.000005, 0.000042
371, 0.000003, 0.000010, 0.000042
371, 0.000003, 0.000007, 0.000034
371, 0.000005, 0.000006, 0.000031
371, 0.000004, 0.000005, 0.000034
371, 0.000012, 0.000007, 0.000028
371, 0.000002, 0.000012, 0.000038
371, 0.000006, 0.000007, 0.000023
371, 0.000013, 0.000006, 0.000025
371, 0.000002, 0.000012, 0.000037
371, 0.000004, 0.000050, 0.000032
371, 0.000005, 0.000006, 0.000037
371, 0.000034, 0.000011, 0.000042
371, 0.000007, 0.000005, 0.000029
371, 0.000004, 0.000005, 0.000052
371, 0.000006, 0.000007, 0.000025
371, 0.000005, 0.000007, 0.000024
371, 0.000005, 0.000008, 0.000064
371, 0.000005, 0.000006, 0.000048
371, 0.000002, 0.000042, 0.000050
371, 0.000011, 0.000008, 0.000040
371, 0.000009, 0.000008, 0.000037
371, 0.000002, 0.000019, 0.000046
371, 0.000005, 0.000008, 0.000027
371, 0.000003, 0.000009, 0.000244
371, 0.000006, 0.000008, 0.000040
371, 0.000005, 0.000008, 0.000028
371, 0.000007, 0.000008, 0.000039
371, 0.000004, 0.000006, 0.000033
371, 0.000014, 0.000012, 0.000034
371, 0.000010, 0.000005, 0.000035
371, 0.000014, 0.000005, 0.000030
371, 0.000012, 0.000008, 0.000030
371, 0.000005, 0.000006, 0.000038
371, 0.000015, 0.000006, 0.000054
371, 0.000071, 0.000006, 0.000035
414, 0.000005, 0.000009, 0.000037
414, 0.001835, 0.000007, 0.000042
414, 0.000010, 0.000008, 0.005727
414, 0.000011, 0.000012, 0.000050
414, 0.000016, 0.000010, 0.000035
414, 0.000004, 0.000009, 0.000053
414, 0.000024, 0.000008, 0.000033
414, 0.000014, 0.000006, 0.000041
414, 0.000005, 0.000007, 0.000040
414, 0.000008, 0.000007, 0.000028
414, 0.000009, 0.000010, 0.000034
414, 0.000002, 0.000012, 0.000052
414, 0.000017, 0.000008, 0.000094
414, 0.000007, 0.000008, 0.000595
414, 0.000006, 0.000007, 0.000218
414, 0.000038, 0.000009, 0.000060
414, 0.000015, 0.000008, 0.000051
414, 0.000011, 0.000017, 0.000073
414, 0.000007, 0.000007, 0.000041
