size,quickselect
239, 0.000228
239, 0.000217
239, 0.000197
239, 0.000227
239, 0.000200
239, 0.000203
239, 0.000218
239, 0.000197
239, 0.000196
239, 0.000201
239, 0.000196
239, 0.000196
239, 0.000200
239, 0.000210
239, 0.000242
239, 0.000202
239, 0.000208
239, 0.000218
239, 0.000201
239, 0.000196
239, 0.000196
239, 0.000204
239, 0.000207
239, 0.000197
239, 0.000194
239, 0.000195
239, 0.000197
239, 0.000206
239, 0.000199
239, 0.000230
239, 0.000202
239, 0.000231
239, 0.000211
239, 0.000214
239, 0.000212
239, 0.000196
239, 0.000197
239, 0.000199
239, 0.000196
239, 0.000196
267, 0.000243
267, 0.000242
267, 0.000260
267, 0.000272
267, 0.000270
267, 0.000255
267, 0.000258
267, 0.000253
267, 0.000265
267, 0.000246
267, 0.000245
267, 0.000250
267, 0.000244
267, 0.000242
267, 0.000243
267, 0.000243
267, 0.000251
267, 0.000261
267, 0.000276
267, 0.000250
267, 0.000245
267, 0.000257
267, 0.000266
267, 0.000251
267, 0.000258
267, 0.000246
267, 0.000252
267, 0.000247
267, 0.000243
267, 0.000245
267, 0.000243
267, 0.000257
267, 0.000246
267, 0.000284
267, 0.000249
267, 0.000275
267, 0.000246
267, 0.000267
267, 0.000254
267, 0.000245
298, 0.000318
298, 0.000311
298, 0.000304
298, 0.000300
298, 0.000302
298, 0.000304
298, 0.000314
298, 0.000348
298, 0.000337
298, 0.000313
298, 0.000338
298, 0.000309
298, 0.000316
298, 0.000307
298, 0.000315
298, 0.000300
298, 0.000302
298, 0.000307
298, 0.000300
298, 0.000303
298, 0.000305
298, 0.000315
298, 0.000308
298, 0.000325
298, 0.000324
298, 0.000382
298, 0.000302
298, 0.000309
298, 0.000305
298, 0.000300
298, 0.000302
298, 0.000315
298, 0.000319
298, 0.000310
298, 0.000365
298, 0.000304
298, 0.000323
298, 0.000310
298, 0.000344
298, 0.000315
332, 0.000375
332, 0.000378
332, 0.000375
332, 0.000384
332, 0.000372
332, 0.000374
332, 0.000372
332, 0.000403
332, 0.000432
332, 0.000453
332, 0.000464
332, 0.000472
332, 0.000476
332, 0.000492
332, 0.003831
332, 0.000447
332, 0.000374
332, 0.000428
332, 0.000486
332, 0.000469
332, 0.000381
332, 0.000480
332, 0.001169
332, 0.000483
332, 0.000479
332, 0.000482
332, 0.000480
332, 0.000493
332, 0.000499
332, 0.001530
332, 0.000425
332, 0.000413
332, 0.000414
332, 0.000478
332, 0.000472
332, 0.000525
332, 0.000560
332, 0.000427
332, 0.000433
332, 0.000415
371, 0.000545
371, 0.000688
371, 0.000883
371, 0.000517
371, 0.000595
371, 0.000800
371, 0.000714
371, 0.000692
371, 0.000657
371, 0.000611
371, 0.000609
371, 0.000696
371, 0.000690
371, 0.000637
371, 0.000516
371, 0.000501
371, 0.000488
371, 0.000493
371, 0.000557
371, 0.000487
371, 0.000487
371, 0.000486
371, 0.000487
371, 0.000487
371, 0.000505
371, 0.000508
371, 0.000487
371, 0.000705
371, 0.000484
371, 0.000493
371, 0.000469
371, 0.000474
371, 0.000478
371, 0.000477
371, 0.000471
371, 0.000486
371, 0.000479
371, 0.000573
371, 0.000484
371, 0.000522
414, 0.000600
414, 0.000583
414, 0.000593
414, 0.000583
414, 0.000605
414, 0.000577
414, 0.000574
414, 0.000589
414, 0.000585
414, 0.000609
414, 0.000665
414, 0.000651
414, 0.000643
414, 0.000580
414, 0.000591
414, 0.000646
414, 0.000587
414, 0.000590
414, 0.000604
414, 0.000594
414, 0.000575
414, 0.000574
414, 0.000576
414, 0.000586
414, 0.000706
414, 0.000674
414, 0.000717
414, 0.000581
414, 0.000656
414, 0.000604
414, 0.000626
414, 0.000668
414, 0.000602
414, 0.000594
414, 0.000590
414, 0.000602
414, 0.000696
414, 0.000799
414, 0.000702
414, 0.000869
461, 0.000876
461, 0.000794
461, 0.000819
461, 0.000780
461, 0.000766
461, 0.000735
461, 0.000893
461, 0.001040
461, 0.000915
461, 0.001038
461, 0.000776
461, 0.001119
461, 0.000833
461, 0.000801
461, 0.000882
461, 0.000798
461, 0.000871
461, 0.001115
461, 0.000886
461, 0.001004
461, 0.001029
461, 0.000941
461, 0.000873
461, 0.001083
461, 0.000766
461, 0.000764
461, 0.000766
461, 0.000990
461, 0.001189
461, 0.000968
461, 0.000909
461, 0.000891
461, 0.000855
461, 0.000821
461, 0.000790
461, 0.000775
461, 0.000782
461, 0.000898
461, 0.000914
461, 0.000920
515, 0.001084
515, 0.001078
515, 0.001196
515, 0.001006
515, 0.001066
515, 0.001007
515, 0.001115
515, 0.001116
515, 0.001148
515, 0.001200
515, 0.001341
515, 0.001282
515, 0.001288
515, 0.001255
515, 0.001085
515, 0.001178
515, 0.001059
515, 0.001013
515, 0.001154
515, 0.000962
515, 0.001050
515, 0.001019
515, 0.001236
515, 0.001302
515, 0.001166
515, 0.001079
515, 0.000978
515, 0.001049
515, 0.001142
515, 0.001017
515, 0.000972
515, 0.000955
515, 0.000962
515, 0.000983
515, 0.001029
515, 0.000944
515, 0.001027
515, 0.001015
515, 0.000936
515, 0.001150
574, 0.001213
574, 0.001212
574, 0.001198
574, 0.001192
