"","size","quickselect_average","quickselect_variance","heapselect_average","heapselect_variance","medianmediansselect_average","medianmediansselect_variance"
"73",261476,0.005741575,3.72544763525641e-06,0.0574527,0.00118212486580513,0.01418535,9.45930028205128e-07
"74",291673,0.006061825,3.91326173782051e-06,0.07024445,0.00142516540892051,0.01567835,1.52802925897436e-06
"75",325357,0.007970775,3.30493510192308e-06,0.083860225,0.00145179363217885,0.017256625,6.64717060897436e-07
"76",362932,0.00797495,6.54714676666667e-06,0.103224775,0.001567749348025,0.0196498,2.07420939487179e-06
"77",404846,0.009484475,9.70139779423077e-06,0.10477665,0.00211816334397692,0.02168325,8.28371525641026e-07
"78",451600,0.01045385,1.2933665874359e-05,0.108251975,0.00331848494166603,0.025302075,9.35376122435897e-07
"79",503754,0.011199125,1.15809519583333e-05,0.14893925,0.00426851098875641,0.028504225,4.94821255769231e-07
"80",561931,0.011776975,1.73310711532051e-05,0.13732685,0.00594713679772051,0.0316776,9.03693271794872e-07
"81",626826,0.0126995,1.71182268717949e-05,0.1731776,0.00772270901101538,0.034629175,2.81442481474359e-06
"82",699216,0.014725825,2.55596673275641e-05,0.205726825,0.00990567853096859,0.037676475,2.60376440961539e-06
"83",779966,0.0181375,4.20768423076923e-05,0.189457375,0.0112455469137788,0.041171075,4.62186243012821e-06
"84",870042,0.01982045,2.72022107153846e-05,0.228120075,0.0124918033535583,0.045715725,2.95924953782051e-06
"85",970520,0.02257865,6.17029365410256e-05,0.245105425,0.0149080035018404,0.051526,7.3862082051282e-06
"86",1082602,0.0248492,7.05799520615385e-05,0.276738775,0.021972523522384,0.057123275,5.99363138397436e-06
"87",1207629,0.026805125,5.0079833650641e-05,0.286779475,0.028235540260666,0.063851475,6.70652415320513e-06
"88",1347094,0.0286444,7.85475396307692e-05,0.3501632,0.0311692588091897,0.0710973,7.60030698461539e-06
"89",1502665,0.0290953,9.0312186625641e-05,0.43717655,0.045155130295741,0.078491275,6.53295251217948e-06
"90",1676202,0.036496275,0.000101810736871154,0.49550795,0.0608593306370744,0.0884867,7.56180216410256e-06
"91",1869781,0.0383991,0.000211393705117949,0.6429304,0.0613973579083487,0.098868375,1.24232508557692e-05
"92",2085716,0.045237325,0.000175510203917308,0.641656575,0.0677096877634301,0.113261975,2.82050241275641e-05
"93",2326588,0.049850075,0.000161868226789103,0.7249173,0.113934192412831,0.12443635,1.95804270538462e-05
"94",2595278,0.053245425,0.000225421181173718,0.805048375,0.142603085926087,0.13775475,2.46487287564103e-05
"95",2894998,0.060047125,0.000278903952830128,0.906797825,0.260259367280046,0.151325825,2.43678407121795e-05
"96",3229331,0.059741325,0.000465568432019872,0.993954375,0.329137736141163,0.170317775,4.63566607429487e-05
"97",3602276,0.072526425,0.000329619343430128,1.13960775,0.371451521367423,0.190225075,5.67186785839743e-05
"98",4018290,0.0808306,0.000703840323938462,1.25823965,0.535877156740798,0.211031725,6.98085404608974e-05
"99",4482349,0.0916539,0.000773502997117949,1.50673215,0.724717030876131,0.23577925,6.37975199358975e-05
"100",5000000,0.105693175,0.00104270251081474,1.6466571,0.836753988692092,0.2628434,8.3545985374359e-05
