"","size","quickselect_average","quickselect_variance","heapselect_average","heapselect_variance","medianmediansselect_average","medianmediansselect_variance"
"75",325357,0.005513825,7.18307384038462e-06,0.010317525,7.09525025e-07,0.018287425,2.17327655833333e-06
"76",362932,0.006109575,1.03460209685897e-05,0.011509075,1.18523955833333e-06,0.02040465,3.15096013076923e-06
"77",404846,0.0055638,1.00338199589744e-05,0.0123282,7.65540933333333e-07,0.021716425,2.50340984038461e-06
"78",451600,0.00674465,9.73415587435897e-06,0.013437325,3.92142891666667e-07,0.023540375,4.94719983974359e-07
"79",503754,0.00731155,1.44665981e-05,0.014606475,3.4937020448718e-07,0.026292975,1.48937140961538e-06
"80",561931,0.00936605,1.62563333307692e-05,0.0162498,1.80591513846154e-06,0.0291337,7.79660420512821e-07
"81",626826,0.009648525,2.93559613326923e-05,0.018524375,2.15385936858974e-06,0.033280275,6.05279528141025e-06
"82",699216,0.01048155,2.12473793820513e-05,0.020727925,3.06231058397436e-06,0.036778225,5.20198956346154e-06
"83",779966,0.0111726,2.65734068102564e-05,0.023018625,2.84663625e-07,0.041478725,4.81832974294872e-06
"84",870042,0.0129424,3.70282081948718e-05,0.02587085,1.26363402820513e-06,0.046459375,2.97930659935897e-06
"85",970520,0.014373725,5.37927586147436e-05,0.029468725,2.96361005064103e-06,0.052462975,1.8014446025e-05
"86",1082602,0.0147244,6.36648190153846e-05,0.03203695,2.50430102307692e-06,0.0573101,1.35116368102564e-05
"87",1207629,0.018393575,8.8751891276282e-05,0.03629615,1.80806136153846e-06,0.063081425,3.85514655833333e-06
"88",1347094,0.022416875,0.000100036441804487,0.04107765,4.33174336153846e-06,0.0716675,7.68023456410256e-06
"89",1502665,0.02211205,0.0001300643221,0.045850925,2.20988769429487e-05,0.079992925,8.41259330967949e-05
"90",1676202,0.024909325,0.000149335180840385,0.051577175,4.12035840455128e-05,0.0885401,2.47552152205128e-05
"91",1869781,0.02930465,0.000127058540387179,0.055263275,4.95973471730769e-06,0.0978945,7.89387410256411e-06
"92",2085716,0.027982775,0.000123570166435256,0.060697375,4.51003777884615e-06,0.105939775,1.33258768967949e-05
"93",2326588,0.035029875,0.000370797131701923,0.065561075,3.233716225e-06,0.115425675,6.81759294294872e-06
"94",2595278,0.037114425,0.000413325194148077,0.0738909,4.57187691282051e-06,0.127041275,7.81501076858974e-06
"95",2894998,0.039532,0.000316176855179487,0.0828153,9.27133647179488e-06,0.142952425,1.96104968660256e-05
"96",3229331,0.0512968,0.000475869531907692,0.093086425,1.19106211224359e-05,0.159082925,1.15815686865385e-05
"97",3602276,0.050979175,0.000514508008763462,0.103179,9.5192322051282e-06,0.179599775,6.16028876147436e-05
"98",4018290,0.056140075,0.000731791952686538,0.114006475,4.31063405064102e-06,0.1974157,1.81753038564103e-05
"99",4482349,0.06572225,0.000723986261423077,0.129938,3.1348672e-05,0.2213827,2.22027921128205e-05
"100",5000000,0.061334125,0.000997012299958333,0.141624875,5.16310503525642e-06,0.2458057,1.43928497538462e-05
